,Name,Main Title,Dynasty,Date,Comment
236,Heqanakht,Viceroy of Kush,19th dynasty,fl. c. 13th-12th century BC,"Viceroy of Kush during the reign of Ramesses II. His titles include: King's son of Kush, overseer of the Southern Lands, Fan-bearer on the king's right, Messenger to every land, etc."
237,Herihor,"General, High Priest of Amun, Pharaoh",20th dynasty,fl. c. early-11th century BC,"An Egyptian general and High Priest of Amun at Thebes during the reign of Ramesses XI. Herihor played an integral role in restoring order by ousting Pinehesy, viceroy of Nubia, from Thebes. He then assumed a number of titles, from high priest to vizier, before claiming to be pharaoh, although his power base remained limited to Thebes."
238,Herneith,Queen,1st dynasty,fl. c. 31st century BC,Queen consort to Djer.
239,Hesy-Ra,"Physician, noble man",3rd dynasty,fl. c. 27th century BC,"Hersy-Ra was an official, physician and scribe who served under the pharaoh Djoser."
240,Hetepheres,Princess,4th dynasty,fl. c. 26th century BC,"She was a daughter of pharaoh Sneferu and his half-sister, Queen Hetepheres I. Hetepheres married her younger half-brother Ankhhaf, who was a vizier."
241,Hetepheres I,Queen,4th dynasty,fl. c. 26th century BC,"A daughter of pharaoh Huni, Hetepheres is considered to have been the wife of Sneferu. Hetepheres was the mother of Princess Hetepheres and King Khufu."
242,Hetepheres II,Queen,4th dynasty,fl. c. 26th century BC,"A daughter of Khufu, during his reign she married her brother, the Crown Prince Kawab, with whom she had at least one child, a daughter named Meresankh III."
243,Hetephernebti,Queen,3rd dynasty,fl. c. 27th century BC,The only known wife of Pharaoh Djoser.
244,Hewernef,Vizier,20th dynasty,fl. c. early-12th century,He served during the reign of the 20th dynasty pharaoh Ramesses III.
245,Hor,Pharaoh,13th dynasty,fl. c. mid-18th century,"Pharaoh of the 13th dynasty, also called Awibre, known for his intact tomb treasure, in particular his Ka-statue."
246,Hor-Aha,Pharaoh,1st dynasty,fl. 31st century BC,Probably the second pharaoh of the 1st dynasty of Egypt.
247,Horbaef,King's Son,4th dynasty,fl. c. 26th century BC,Horbaef was a son of Pharaoh Khufu. He married his half-sister Meresankh II and they had daughters named Nefertkau III and Nebty-tepites. Also known as Baefhor or Horbaf.
248,Horemheb,Pharaoh,18th dynasty,fl. c. late-14th to early-13th century BC,"Last pharaoh of the 18th dynasty (reigned c. 1319 BC – c. 1292 BC). Before he became pharaoh, Horemheb was the commander in chief of the army for Tutankhamen and Ay and the legitimate heir of Tutankhamen. He appointed his vizier Paramesse as his successor, who would assume the throne as Ramesses I."
249,Hori I,High Priest of Ptah,20th dynasty,fl. c. late-13th century BC,He served at the very end of the reign of the 19th dynasty pharaoh Ramesses II. Hori succeeded Neferronpet in office. Hori was a son of prince Khaemwaset and hence a grandson of Ramesses II.
250,Hori I,Viceroy of Kush,20th dynasty,fl. c. early-12th century BC,"Hori, son of Kama, was Viceroy of Kush under the 19th dynasty pharaoh Siptah. He continued to serve under the 20th dynasty pharaohs Setnakhte and Ramesses III."
251,Hori II,Vizier,19th/20th dynasty,fl. c. early to mid-12th century BC,"He served during the reigns of the 19th and 20th dynasty pharaohs Sethi II, Siptah, Tawosret, Setnakhte and Ramesses III. Hori II was the son of the High Priest of Ptah Hori I and the grandson of Prince Khaemweset."
252,Hori II,Viceroy of Kush,20th dynasty,fl. c. mid-12th century BC,"Ason of the Viceroy of Kush, Hori I, and also served as Viceroy of Kush."
253,Hornakht,King's Son,22nd dynasty,fl. c. mid-9th century BC,A son of pharaoh Osorkon II. He was appointed by his father to the office of chief priest of Amun at Tanis to strengthen Osorkon's authority in Lower Egypt but Hornakht died at age 10.
254,Horus Bird,Pharaoh,Between the 1st and 2nd dynasties,fl. c. 2900 BC,Ephemeral ruler during the interregnum from the 1st to the 2nd dynasty
255,Horus Sa,Pharaoh,2nd or 3rd dynasty,fl. c. 27th century BC,Enigmatic pharaoh reigning in the confused mid-2nd dynasty or in the 3rd dynasty.
256,Hotepibre,Pharaoh,13th dynasty,fl. c. 17th century BC,Hotepibre Siharnedjheritef was likely a son of Ameny Qemau.
257,Hotepsekhemwy,Pharaoh,2nd dynasty,fl. c. 29th century BC,The first king of the 2nd dynasty of Egypt. (or Boethos)
258,Hsekiu,King,pre-dynastic,,"Also known as Seka, was a Predynastic ancient Egyptian king who ruled in the Nile Delta."
259,Hugronaphor,Noble man,Ptolemaic,fl. c. late-3rd century BC,"A Nubian noble who led Upper Egypt's secession from the rule of Ptolemy IV Philopator in 205 BC. His name is some times given as Hurganophor, Haronnophris, Harmachis, Hyrgonaphor, Herwennefer, or Horwennefer."
260,Hui,Divine Adoratrice,18th dynasty,fl. c. mid-15th century,"She was the mother of Merytre-Hatshepsut, the Great Royal Wife of Pharaoh Thutmose III."
261,Hunefer,Priest,19th dynasty,fl. c. 13th century BC,"Hunefer was ""Scribe of Divine Offerings"", ""Overseer of Royal Cattle"", and steward of Pharaoh Seti I. Known for his copy of the Egyptian funerary Book of the Dead."
262,Huni,Pharaoh,3rd dynasty,fl. c. 27th century BC,The last pharaoh of Egypt of the 3rd dynasty. He was the successor to Khaba.
263,Huy,High Priest of Ptah,18th dynasty,fl. c. mid-13th century BC,High Priest of Ptah during the reign of the 19th dynasty pharaoh Ramesses II. Huy was succeeded by Pahemnetjer.
264,Huya,Steward of Queen Tiye,18th dynasty,fl. c. mid-14th century BC,"He was the Superintendent of the Royal Harem, Superintendent of the Treasury and Superintendent of the House, all titles that are associated with Queen Tiye, mother of Akhenaten."
265,Iaret,Queen,18th dynasty,fl. c. early-14th century BC,The daughter of Pharaoh Amenhotep II and wife of Thutmose IV.
266,Ibi,Steward,26th dynasty,fl. c. mid-7th century BC,"Chief Steward to the Adorer of the God, Nitocris I, during the reign of Pharaoh Psamtik I. His name is sometimes written as Aba or Abe."
267,Ibiau,Pharaoh,13th dynasty,fl. c. 17th century BC,"Ibiau, Ibiaw or Wahibre Ibiau was an Egyptian king of the 13th Dynasty."
268,Ibiaw,Vizier,13th dynasty,fl. c. 17th century BC,A vizier under pharaohs Wahibre Ibiau and Merneferre Ay.
269,Imhotep,"Architect, Vizier",3rd dynasty,fl. c. 27th century BC,"He served under King Djoser as chancellor to the pharaoh and High Priest of Re at Heliopolis. He was revered by later Egyptian dynasties as an architect, engineer, physician, poet and philosopher."
270,Imyremeshaw,Pharaoh,13th dynasty,fl. c. late-18th century BC,Imyremeshaw Smenkhkare was an Egyptian king of the 13th dynasty.
271,Inaros,Rebel Leader,Persian Occupation,fl. c. mid-5th century BC,"An Egyptian rebel ruler who was the son of a Libyan prince named Psamtik. In 460 BC, he revolted against the Persians with the help of his Athenian allies and defeated the Persian army. He was defeated in 454 BC by a Persian army led by Megabyzus. Inaros was captured and executed in 454 BC. Also known as Ienheru, or Inarus."
272,Inenek-Inti,Queen,6th dynasty,fl. c. 24th century BC,A wife of Pharaoh Pepi I Meryre of the 6th dynasty.
273,Ineni,Queen,13th dynasty,fl. c. mid-17th century BC,Her husband was probably king Merneferre Ay.
274,Ineni,Architect,18th dynasty,fl. late-16th and early 15th century BC,"An Egyptian architect and government official of the 18th dynasty, responsible for major construction projects under the pharaohs Amenhotep I, Thutmose I, Thutmose II, Hatshepsut and Thutmose III. Ineni expanded the Temple of Karnak and probably oversaw the construction of Amenhotep I's tomb and mortuary temple."
275,Inetkawes,Princess,3rd dynasty,fl. c. 27th century BC,She was the only known child of Pharaoh Djoser and Queen Hetephernebti.
276,Ini Menkheperre,Local King,Third Intermediate Period,fl. c. mid-8th century BC,"Probably pharaoh Rudamun's successor at Thebes but was not a member of his predecessor's 23rd dynasty. Unlike the 23rd dynasty rulers, he was a local king who ruled only at Thebes. Also known as Iny Si-Ese Meryamun."
277,Inkaef,Prince,4th dynasty,fl. c. 26th century BC,"A son of Nefermaat, the eldest son of pharaoh Sneferu and Itet."
278,Intef the Elder,Pharaoh,11th dynasty,c. mid-22nd century BC,"Nomarch of Thebes during the first intermediate period, later considered a founding figure of the 11th dynasty."
279,Intef I,Pharaoh,11th dynasty,fl. c. 22nd century BC,"Intef I Sehertawy was local Egyptian ruler at Thebes, Egypt. He was the first of his dynasty to assume the title of Pharaoh. His authority was contested by the other nomarchs of Egypt, but he had gained control over Koptos, Dendera and the three nomes of Hierakonpolis by the end of his reign."
280,Intef II,Pharaoh,11th dynasty,reigned c. 2118 BC – c. 2069 BC,"Intef II Wahankh's capital was located at Thebes, Egypt. After the death of the nomarch Ankhtifi, Intef II was able to unite all the southern nomes down to the First Cataract. By the time Intef II died, he left behind a strong government in Thebes which controlled the whole of Upper Egypt."
281,Intef III,Pharaoh,11th dynasty,reigned c. 2069 BC – c. 2060 BC,Intef III Nakhtnebtepnefer was a king during the First Intermediate Period.
282,Intef V,Pharaoh,13th dynasty,fl. c. late-18th century BC,Intef V Sehetepkare was an Egyptian king. His name is also written as Antef V or Inyotef V.
283,Intef VI,Pharaoh,17th dynasty,fl. c. early-16th century BC,"Intef VI Sekhemrewepmaat ruled from Thebes. He lived during the Second Intermediate Period, when Egypt was ruled by multiple kings. His name is also written as Antef VI."
284,Intef VII,Pharaoh,17th dynasty,fl. c. mid-16th century BC,"Intef VII Nubkheperre ruled from Thebes during the Second Intermediate Period, when Egypt was divided by rival dynasties including the Hyksos in Lower Egypt. He was the brother of Intef VI and perhaps the son of Sekhemre Shedtawy Sobekemsaf I. His name is also written as Antef VII."
285,Intef VIII,Pharaoh,17th dynasty,fl. c. mid-16th century BC,"Intef VIII Sekhemreheruhirmaat ruled during the Second Intermediate Period, when Egypt was divided between the Theban-based 17th dynasty in Upper Egypt and the Hyksos 15th dynasty who controlled Lower and part of Middle Egypt. His name is also written as Antef VIII."
286,Intef,General,11th dynasty,fl. c. 21st century BC,Served under king Mentuhotep II.
287,Intefiqer,Vizier,12th dynasty,fl. c. mid-20th century BC,An Egyptian noble who was overseer of the city and vizier under the Pharaohs Amenemhet I and Senusret I.
288,Ipu,Royal Nurse,18th dynasty,fl. c. late-16th century BC,"She was the mother of Queen Satiah, Great Royal Wife of Pharaoh Thutmose IV."
289,Iput,Queen,5th/ 6th dynasty,fl. c. 24th century BC,"A daughter of Unas, the last king of 5th dynasty of Egypt. She married Teti, the first pharaoh of the 6th dynasty of Egypt. Their son was Pepi I Meryre and she acted for him as a regent after her husband's death."
290,Iput II,Queen,6th dynasty,fl. c. 23rd century BC,Wife of king Pepi II Neferkare.
291,Iry-Hor,Pharaoh,Predynastic,fl. c. 32nd century BC,"Predynastic ruler of Egypt, earliest king of Egypt known by name. Ruled Upper Egypt at least as far north as Memphis."
292,Isesi-ankh,High official,5th dynasty,fl. c. 24th century BC,"High official, Overseer of all the works of the King, Overseer of the expedition, Royal companion. Possibly A son of king Djedkare Isesi."
293,Isesu,Princess,4th dynasty,fl. c. 26th century BC,"A daughter of Nefermaat, the eldest son of pharaoh Sneferu and Itet."
294,Iset,Queen,18th dynasty,fl. c. mid-15th century BC,"She was a secondary wife or concubine of Thutmose II. Iset was the mother of Thutmose III, the only son of Thutmose II."
295,Iset,Princess,18th dynasty,fl. c. late-15th century BC,A daughter of Pharaoh Thutmose III and his Great Royal Wife Merytre-Hatshepsut.
296,Iset,Princess-Queen,18th dynasty,fl. c. mid-14th century BC,Daughter of Amenhotep III and Tiye. She was a sister of Akhenaten. She later married her father.
297,Iset,"Princess, God's Wife of Amun",20th dynasty,fl. c. mid-12th century BC,"Daughter of Pharaoh Ramesses VI and Nubkhesbed, and a sister of Pharaoh Ramesses VII. Also known as Aset, or Isis."
298,Iset Ta-Hemdjert,Queen,20th dynasty,fl. c. mid-12th century BC,She was the wife of Ramesses III and the mother of both Ramesses IV and Ramesses VI.
299,Isetemkheb,Princess,21st dynasty,fl. c. late 11th century BC,"The sister-wife of the Theban High Priest of Amun, Pinudjem II. Isetemkheb was a daughter of the Theban High Priest of Amun and general, Prince Menkheperre, and his wife, Isetemkheb."
300,Isetnofret,Queen,19th dynasty,fl. c. mid-13th century BC,"One of the wives of Pharaoh Ramesses II and was the mother of his heir, Merneptah. Alternatively called: Isis-nofret or Isitnofret."
301,Isetnofret II,Queen,19th dynasty,fl. c. late-13th century BC,One of the wives of Pharaoh Merneptah. Alternatively called: Isis-nofret or Isitnofret.
302,Isidorus,Priest,Roman Period,fl. c. 2nd century AD,A native ancient Egyptian priest. He led the native Egyptian revolt against Roman rule during the reign of emperor Marcus Aurelius.
303,Isu,Prince,4th dynasty,fl. c. 26th century BC,"He was a son of Nefermaat, the eldest son of pharaoh Sneferu and Itet."
304,Itet,Princess,4th dynasty,fl. c. 26th century BC,"A noblewoman, a wife of Prince Nefermaat, and daughter-in-law of pharaoh Sneferu. Her name is also written as Atet."
305,Itisen,Prince,4th dynasty,fl. c. 26th century BC,"A son of Nefermaat, the eldest son of pharaoh Sneferu, and of Itet."
306,Itu,Prince,4th dynasty,fl. c. 26th century BC,He was a son of Prince Rahotep and Nofret and grandson of pharaoh Sneferu.
307,Iufaa,Priest,26th dynasty,fl. c. 5th century BC,An Egyptian priest and administer of palaces. His undisturbed tomb was found in 1994.
308,Iufni,Pharaoh,13th dynasty,c. 1790 BC or 1740 BC,The only record of this Pharaoh comes from the Turin King List.
309,Iunmin I,Vizier,4th dynasty,fl. c. 26th century BC,"He was possibly a son of king Khafre and served as vizier during the reign of his brother, Menkaure. His name is also written as Yunmin, Iuenmin, and Minuen."
310,Iunre,Prince,4th dynasty,fl. c. 26th century BC,He was a son of king Khafre. His name is also written as Yunre.
311,Iuput,High Priest of Amun,22nd dynasty,fl. c. mid-10th century BC,"Served during the reigns of his father Pharaoh Shoshenq I and his brother Osorkon I. He was also general, army commander and governor of Upper Egypt."
312,Iuput I,Pharaoh,23rd dynasty,fl. c. late-9th century BCE,"A pharaoh of Upper Egypt and a co-regent with his father, Pedubast I."
313,Iuput II,Local Ruler,Third Intermediate Period,fl. c. mid-8th century BC,"The ruler of Leontopolis in the Egyptian Delta region. He was an ally of Tefnakht of Sais who resisted the invasion of Lower Egypt by the 25th dynasty Kushite king Piye. After Piye defeated Tefnakht's coalition and conquered Lower Egypt, Iuput II remained in power as the local governor of Leontopolis. Also known as Yuput II."
314,Iuty,Vizier,Late New Kingdom,,Tomb in Bubastis
315,Iuwelot,High Priest of Amun,22nd dynasty,fl. c. early-9th century BCE,A High Priest of Amun at Thebes under the pharaohs Osorkon I and Takelot I.
316,Iyibkhentre,Pharaoh,11th-12th dynasty,fl. early-20th century BCE,"An Egyptian or Nubian pretender to the throne, he was an opponent of Amenemhat I but was defeated by him."
317,Iymeru,Vizier,13th dynasty,fl. 18th century BC,A vizier under pharaohs Khendjer and Imyremeshaw.
318,Iynefer,Prince,4th dynasty,fl. c. 26th century BC,A son of pharaoh Sneferu.
319,Kaaper,Priest,4th-5th Dynasty,fl. 25th-26th century BC,"Also called Sheikh el-Beled, he was a priest and scribe known for his wooden statue from Saqqara"
320,Ka (pharaoh),King,Pre-dynastic,fl. c. 32nd-31st century BC,"Ka, also Sekhem Ka or Ka-Sekhen, was a Predynastic pharaoh of Upper Egypt."
321,Kaemqed,Prince,4th dynasty,fl. c. 26th century BC,A son of princess Nefertnesu and grandson of Pharaoh Sneferu.
322,Kaemsekhem,Director of the Palace,4th dynasty,fl. c. 26th century BC,A son of prince Kawab and Hetepheres II and grandson of the pharaoh Khufu. He served as the director of the palace.
323,Kagemni I,Vizier,3rd dynasty,fl. c. 27th century BC,He was a vizier to both Pharaoh Huni and Pharaoh Sneferu.
324,Kagemni,Vizier,6th dynasty,fl. c. 24th century BC,Vizier during the reign of king Teti. Kagemni's wife Nebtynubkhet Sesheshet was probably the daughter of Teti.
325,Kakhent,Prince,4th dynasty,fl. c. 26th century BC,"A son of Nefermaat, the eldest son of pharaoh Sneferu and Itet."
326,Kamose,Pharaoh,17th dynasty,fl. c. mid-16th century BC,"The last king of the Theban 17th dynasty (reigned c.1555 BC – c.1550 BC). He was probably the son of Seqenenre Tao and Ahhotep I and brother of Ahmose I, founder of the Eighteenth Dynasty."
327,Kanefer,Prince,4th dynasty,fl. c. 26th century BC,The son of pharaoh Sneferu.
328,Kapes,Queen,22nd dynasty,fl. c. early 9th century BC,Wife of pharaoh Takelot I and the mother of Pharaoh Osorkon II.
329,Karomama,Queen,22nd dynasty,fl. c. mid-10th century BC,Wife of pharaoh Sheshonk I and the mother of Pharaoh Osorkon I. Her name is sometimes given as Karamat
330,Karomama I,Queen,22nd dynasty,fl. c. mid-9th century BC,Wife of pharaoh Osorkon II. Karomama was probably a daughter of Pharaoh Takelot I.
331,Karomama II,Queen,23rd dynasty,fl. c. mid-9th century BC,Wife of pharaoh Takelot II. Karomama was a daughter of the High Priest of Amun Nimlot and his wife Tentsepeh. Karomama was the mother of pharaoh Osorkon III.
332,Karomama Meritmut,God's Wife of Amun,22nd dynasty,fl. c. mid-9th century BC,A God's Wife of Amun during the 22nd dynasty. Possibly a daughter of Pharaoh Osorkon II.
333,Kashta,King of Kush,Second Intermediate Period,fl. c. mid-8th century BC,"A king of the Kushite Dynasty (reigned c. 760 BC – c. 752 BC). Kashta ruled Nubia and he also exercised a strong degree of control over Upper Egypt. During his reign, the native Kushite population adopted Egyptian traditions, religion and culture."
334,Kawab,Prince,4th dynasty,fl. c. 26th century BC,He was the eldest son of Pharaoh Khufu and Queen Meritites I and half-brother of pharaohs Djedefre and Khafre.
335,Kekheretnebti,Princess,5th dynasty,fl. c. 24th century BC,A daughter of Pharaoh Djedkare Isesi.
336,Keminub,Queen,12th dynasty or Second Intermediate Period,fl. c. late-20th century BC,An Egyptian noblewoman with the title king's wife who was buried next to the pyramid of the 12th dynasty pharaoh Amenemhet II at Dahshur. For that reason it has been suggested she was his wife. May date to a later period however.
337,Khaba,Pharaoh,3rd dynasty,fl. c. 27th century BC,"Pharaoh of the 3rd dynasty, possibly succeeded Sanakht, may be the owner of the Layer Pyramid."
338,Khabash,Noble,Persian Occupation,fl. mid-4th century BC,"A noble based at Sais in Lower Egypt. During the second Persian occupation of Egypt (343–332 BC) he led a revolt against the Persian rule with his eldest son. During the 330s BC, Khabash led an invasion into the kingdom of Kush but was defeated by king Nastasen. Also known as Khababash."
339,Khabaw,Pharaoh,13th dynasty,fl. c. early- to mid-18th century BC,"Pharaoh of the 13th dynasty, successor and possible son of Hor Awibre."
340,Khabekhnet,Artisan,19th dynasty,fl. c. late-13th century BC,He served during the reigns of the pharaoh Ramesses II.
341,Khaemtir,Vizier,19th dynasty,fl. c. late-13th century BC,He served during the reigns of the pharaohs Amenmesse and Seti II.
342,Khaemweset,Prince,18th dynasty,fl. c. early-14th century BC,He was probably the son of Pharaoh Amenhotep II.
343,Khaemweset,"Prince, High Priest of Ptah",19th dynasty,fl. c. late-13th century BC,"A son of Ramesses II and queen Isetnofret. He was a Sem-Priest and later High Priest of Ptah and governor of Memphis. Khaemwaset restored the monuments of earlier kings, such as Shepseskaf, Sahure and Nyuserre Ini, and restored the pyramid of Unas at Saqqara."
344,Khaemweset,"Prince, High Priest of Ptah",20th dynasty,fl. c. early-12th century BC,A son of Pharaoh Ramesses III. He was a priest of Ptah in Memphis.
345,Khaemwaset,Vizier,20th dynasty,fl. c. late-12th century BC,"Vizier under king Ramesses IX, ordered and led investigation about some royal tomb robberies."
346,Khafre,Pharaoh,4th dynasty,fl. c. 26th century BC,He reigned c.2558 BC – c.2532 BC. He was a brother of Djedefre. Khafre had his capital at Memphis and built the second largest pyramid at Giza and is thought to have built the Great Sphinx.
347,Khamerernebty,Princess,5th dynasty,fl. c. 25th century BC,"A daughter of the 5th dynasty King Nyuserre Ini and was married to the King's vizier, Ptahshepses."
348,Khamerernebty I,Queen,4th dynasty,fl. c. 26th century BC,She was probably a wife of the pharaoh Khafre and the mother of Menkaura and Khamerernebty II.
349,Khamerernebty II,Queen,4th dynasty,fl. c. 26th century BC,She was probably the daughter of Pharaoh Khafre and Queen Khamerernebty I and was married to her brother Menkaura.
350,Khamudi,Pharaoh,15th dynasty,fl. c. mid-16th century,"The last pharaoh of the Hyksos 15th dynasty of Egypt (reigned c.1555 BC – c.1544 BC), who ruled in the northern portion of Egypt. He was defeated by the founding pharaoh of the 18th dynasty, Ahmose I."
351,Khasekhemwy,King,2nd dynasty,fl. c. 27th century BC,"Thought to be the last king of the 2nd dynasty of Egypt. He led several significant military campaigns and built several monuments, still extant, mentioning war against the Northerners."
352,Khawy,Guardian in the Place of Truth,19th dynasty,fl. c. mid-13th century BC,"A guardian in the Place of Truth and servitor of Amun of Opet (Luxor) during the reign of Egyptian pharaoh, Ramesses II."
353,Khay,Vizier,19th dynasty,fl. c. mid-13th century BC,A vizier in the latter part of pharaoh Ramesses II. Khay was the son of Hai and Nub-em-niut.
354,Khayu,King,Pre-dynastic,,Predynastic ancient Egyptian king who ruled in the Nile Delta.
355,Khedebneithirbinet I,Queen,26th dynasty,fl. c. late-7th century BC,"She was probably the wife of the 26th dynasty pharaoh Necho II. She was the mother of his successor, Psamtik II."
356,Khendjer Userkare,Pharaoh,13th dynasty,fl. c. late 18th century BC,Khendjer was the earliest known Semitic king of an Egyptian dynasty.
357,Khenemetneferhedjet I Weret,Queen,12th dynasty,fl. c. early-19th century BC,A wife of King Senusret II and the mother of Senusret III.
358,Khenemetneferhedjet II Weret,Queen,12th dynasty,fl. c. mid-19th century BC,A wife of King Senusret III.
359,Khenemetneferhedjet III,Queen,12th dynasty,fl. c. late-19th century BC,She was the wife of King Amenemhet III.
360,Khensa,Queen,25th dynasty,fl. c. mid-8th century BC,Khensa was the sister-wife of the Pharaoh Piye. Her name is sometimes written as Khenensaiuw.
361,Khentetka,Queen,4th dynasty,fl. c. 26th century BC,Khentetka was the wife of the pharaoh Djedefra.
362,Khenthap,Queen,1st dynasty,fl. c. 31st century BC,Kenthap was the mother of Djer and was probably the wife of King Hor-Aha.
363,Khentimeresh,Prince,4th dynasty,fl. c. 26th century BC,"A son of Nefermaat, the eldest son of pharaoh Sneferu, and Itet."
364,Khentkaus I,Queen,4th dynasty,fl. c. 25th century BC,"She was a daughter of Menkaure, possibly a wife of Shepseskaf and mother of Userkaf."
365,Khentkaus II,Queen,5th dynasty,fl. c. 25th century BC,She was a wife of Egyptian Pharaoh Neferirkare Kakai. She was the mother of Neferefre and Nyuserre Ini.
366,Khentkaus III,Queen,5th dynasty,fl. c. 25th century BC,She was a wife of Egyptian Pharaoh Neferefre. She was the mother of Menkauhor.
367,Khenut,Queen,5th dynasty,fl. c. 24th century BC,A wife of King Unas.
368,Khety I,Nomarch of Asyut,10th dynasty,fl. c. 21st century BCE,"Nomarch of Asyut, loyal to the pharaohs of Herakleopolis."
369,Khety II,Nomarch of Asyut,10th dynasty,fl. c. 21st century BCE,"Nomarch of Asyut under king Merykare, grandson of the namesake above."
370,Kheti,Treasurer,11th dynasty,fl. c. 21st century BCE,Treasurer under king Mentuhotep II.
371,Kheti,Vizier,12th dynasty,fl. c. late-19th century BC,Vizier under king Amenemhet III.
372,Khnumhotep,Royal Manicurist,5th dynasty,,Overseer of the Manicurists in the Palace of King Niuserre. Shares a tomb with Niankhkhnum.
373,Khnumhotep I,Nomarch of Men'at Khufu,12th dynasty,fl. c. early-20th century BCE,Nomarch of Men'at Khufu under pharaoh Amenemhat I.
374,Khnumhotep II,Nomarch of Men'at Khufu,12th dynasty,fl. c. 20th-19th century BCE,"Nomarch of Men'at Khufu under Amenemhat II and Senusret II, known for his remarkable tomb at Beni Hasan."
375,Khnumhotep III,Vizier,12th dynasty,fl. c. early-19th century BC,"He was the son of the local governor Khnumhotep II, and was promoted high steward and then vizier under Senusret II."
376,Khufu,Pharaoh,4th dynasty,fl. c. 26th century BC,The second pharaoh of the 4th Dynasty (reigned c.2589 BC – c.2566 BC). He is generally accepted as being the builder of the Great Pyramid of Giza. Greek name: Cheops.
377,Khufukhaf,Vizier,4th dynasty,fl. c. 26th century BC,Khufukhaf was a son of Pharaoh Khufu and brother of pharaohs Djedefre and Khafre. His mother might have been Queen Henutsen. His wife was Nefertkau II and she was buried with him in Giza.
378,Khui,Pharaoh,8th dynasty,fl. c. 22nd century BCE,"A local pharaoh mainly known for his purported tomb, the so-called Pyramid of Khui in Middle Egypt."
379,Khuiqer,Pharaoh,n.d.,n.d.,"An extremely poorly known pharaoh, tentatively attributed to various dynasties from the First to the Second Intermediate Period."
380,Khuit I,Queen,5th dynasty,fl. c. 25th century BC,Khuit I was possibly the wife of Pharaoh Menkauhor Kaiu.
381,Khuit,Queen,6th dynasty,fl. c. 24th century BC,Wife of King Teti.
382,Khyan,Pharaoh,15th dynasty,fl. c. early-16th century BC,"A king of the Hyksos 15th dynasty of Egypt. Also known as Seuserenre Khyan, Khian' or Khayan."
383,Kiya,Queen,18th dynasty,fl. c. mid-14th century BC,One of the wives of Pharaoh Akhenaten.
384,Ladice,Queen,26th dynasty,fl. c. 6th century BC,The daughter of the Greek Cyrenaean King Battus III and his wife Queen Pheretima. Ladice married Amasis II.
385,Lagus,,Ptolemaic,fl. c. 4th century BC,"Married to Arsinoe, daughter of Meleager, and reputed father of Ptolemy I Soter."
386,Lysandra,Princess,Ptolemaic,fl. c. 3rd century BC,"The daughter of Ptolemy I Soter and Eurydice, the daughter of Antipater."
387,Lysimachus,Prince,Ptolemaic,fl. c. late 3rd century BC,"A son of king Ptolemy II Philadelphus and queen Arsinoe I. He survived both his brother Ptolemy III Euergetes and his nephew, Ptolemy IV Philopator, but was put to death by Sosibius, the minister and guardian of Ptolemy V Epiphanes."
388,Maathorneferure,Queen,19th dynasty,fl. c. mid-13th century BC,The daughter of the Hittite king Hattusili III and his wife Queen Pudukhepa. She was a sister of Hittite king Tudhaliya IV. Maathorneferure married the Egyptian 19th dynasty Pharaoh Ramesses II.
389,Maatkare Mutemhat,God's Wife of Amun,21st dynasty,fl. c. mid to late-11th century BC,"She was the daughter of High Priest of Amun, Pinedjem I, who was the de facto ruler of Southern Egypt from 1070 BC onwards."
390,Maatkare,Queen,21st dynasty,fl. c. late-10th century BC,Wife of pharaoh Osorkon I and the mother of pharaoh Sheshonk II. Maatkare was a daughter of Psusennes II.
391,Magas of Cyrene,King of Cyrene,Ptolemaic,fl. c. mid-3rd century BC,"Following the death of Ptolemy I, Magas tried to gain independence for Cyrene, until he crowned himself king around 276 BC. Magas and Antiochus agreed on a joint attack on Egypt but the armies of Ptolemy II defeated them. Magas managed to maintain Cyrene's independence until his death."
392,Mahu (noble),Noble,18th dynasty,fl. c. 14th century BC,Mahu was Chief of Police at Akhetaten.
393,Maia,Wet-Nurse,18th dynasty,fl. c. mid-14th century BC,The wet-nurse of the Egyptian 18th dynasty king Tutankhamun.
394,Maiherpri,Noble,18th dynasty,fl. c. late 15th century BC,An Egyptian noble of Nubian origin. He probably lived during the rule of the 18th dynasty king Thutmose IV. He probably grew up in the royal nursery as a prince of a vassal territory and as an adult was an advisor or bodyguard to the pharaoh.
395,Malewiebamani,King of Kush,,fl. c. mid-5th century BC,A Kushite King of Meroe (reigned c.463 BC – c.435 BC). Malewiebamani's mother was probably Queen Saka'aye. Malewiebamani was the son of either Nasakhma (whom he succeeded) or Siaspiqa.
396,Manetho,"Historian, Priest",Ptolemaic,fl. c. mid-3rd century BC,An Egyptian historian and priest from Sebennytos who lived during the Ptolemaic era. He was probably a priest of the sun god Ra at Heliopolis. Manetho wrote the Aegyptiaca (History of Egypt) which is of great interest to Egyptologists and used as evidence for the chronology of the reigns of pharaohs.
397,Masaharta,High Priest of Amun,21st dynasty,fl. c. mid-11th century BC,"He succeeded his father, Pinedjem I, who had been also been the de facto ruler of Upper Egypt from 1070 BC. Masaharta's mother was Duathathor-Henuttawy, the daughter of Ramesses XI."
398,Maya,High Priest of Amun,18th dynasty,fl. c. mid-14th century BC,High Priest of Amun during the reign of king Akhenaten.
